1,David Ospina,,GKP
2,Petr Cech,,GKP
3,Damian Emiliano Martinez,,GKP
4,Laurent Koscielny,,DEF
5,Per Mertesacker,,DEF
6,Gabriel Armando de Abreu,,DEF
7,Héctor Bellerín,,DEF
8,Kieran Gibbs,,DEF
9,Carl Jenkinson,,DEF
10,Nacho Monreal,,DEF
11,Rob Holding,,DEF
12,Shkodran Mustafi,,DEF
13,Sead Kolasinac,,DEF
14,Alexis Sánchez,,MID
15,Theo Walcott,,MID
16,Mesut Özil,,MID
17,Santiago Cazorla,,MID
18,Aaron Ramsey,,MID
19,Alex Oxlade-Chamberlain,,MID
20,Francis Coquelin,,MID
21,Alex Iwobi,,MID
22,Mohamed Elneny,,MID
23,Granit Xhaka,,MID
24,Jack Wilshere,,MID
25,Olivier Giroud,,FWD
26,Danny Welbeck,,FWD
27,Lucas Pérez,,FWD
28,Alexandre Lacazette,,FWD
29,Asmir Begovic,,GKP
30,Artur Boruc,,GKP
31,Adam Federici,,GKP
32,Simon Francis,,DEF
33,Steve Cook,,DEF
34,Charlie Daniels,,DEF
35,Adam Smith,,DEF
36,Tyrone Mings,,DEF
37,Bradley Smith,,DEF
38,Nathan Aké,,DEF
39,Harry Arter,,MID
40,Marc Pugh,,MID
41,Andrew Surman,,MID
42,Junior Stanislas,,MID
43,Dan Gosling,,MID
44,Max Gradel,,MID
45,Jordon Ibe,,MID
46,Lewis Cook,,MID
47,Ryan Fraser,,MID
48,Callum Wilson,,FWD
49,Benik Afobe,,FWD
50,Lys Mousset,,FWD
51,Joshua King,,FWD
52,Jermain Defoe,,FWD
53,Niki Mäenpää,,GKP
54,Mathew Ryan,,GKP
55,Lewis Dunk,,DEF
56,Shane Duffy,,DEF
57,Uwe Hünemeier,,DEF
58,Bruno Saltor Grau,,DEF
59,Gaëtan Bong,,DEF
60,Liam Rosenior,,DEF
61,Connor Goldson,,DEF
62,Anthony Knockaert,,MID
63,Dale Stephens,,MID
64,Beram Kayal,,MID
65,Steve Sidwell,,MID
66,Solomon March,,MID
67,Jiri Skalak,,MID
68,Oliver Norwood,,MID
69,Jamie Murphy,,MID
70,Pascal Groß,,MID
71,Glenn Murray,,FWD
72,Tomer Hemed,,FWD
73,Sam Baldock,,FWD
74,Tom Heaton,,GKP
75,Paul Robinson,,GKP
76,Matthew Lowton,,DEF
77,Ben Mee,,DEF
78,Stephen Ward,,DEF
79,James Tarkowski,,DEF
80,Kevin Long,,DEF
81,Charlie Taylor,,DEF
82,Scott Arfield,,MID
83,Dean Marney,,MID
84,Johann Berg Gudmundsson,,MID
85,Steven Defour,,MID
86,Jeff Hendrick,,MID
87,Robbie Brady,,MID
88,Ashley Westwood,,MID
89,Jonathan Walters,,MID
90,Jack Cork,,MID
91,Sam Vokes,,FWD
92,Andre Gray,,FWD
93,Ashley Barnes,,FWD
94,Thibaut Courtois,,GKP
95,Eduardo Dos Reis Carvalho,,GKP
96,Willy Caballero,,GKP
97,César Azpilicueta,,DEF
98,Gary Cahill,,DEF
99,Kurt Zouma,,DEF
100,Marcos Alonso,,DEF
101,David Luiz Moreira Marinho,,DEF
102,Victor Moses,,DEF
103,Antonio Rüdiger,,DEF
104,Eden Hazard,,MID
105,Cesc Fàbregas,,MID
106,Willian Borges Da Silva,,MID
107,Nemanja Matic,,MID
108,Ruben Loftus-Cheek,,MID
